id,identifier,species_id,height,weight,base_experience,order,is_default
293,Whismur,293,6,163,48,378,1
294,Loudred,294,10,405,126,379,1
295,Exploud,295,15,840,221,380,1
296,Makuhita,296,10,864,47,381,1
297,Hariyama,297,23,2538,166,382,1
298,Azurill,298,2,20,38,262,1
299,Nosepass,299,10,970,75,383,1
300,Skitty,300,6,110,52,385,1
301,Delcatty,301,11,326,140,386,1
302,Sableye,302,5,110,133,387,1
303,Mawile,303,6,115,133,389,1
304,Aron,304,4,600,66,391,1
305,Lairon,305,9,1200,151,392,1
306,Aggron,306,21,3600,239,393,1
307,Meditite,307,6,112,56,395,1
308,Medicham,308,13,315,144,396,1
309,Electrike,309,6,152,59,398,1
310,Manectric,310,15,402,166,399,1
311,Plusle,311,4,42,142,401,1
312,Minun,312,4,42,142,402,1
313,Volbeat,313,7,177,151,403,1
314,Illumise,314,6,177,151,404,1
315,Roselia,315,3,20,140,406,1
316,Gulpin,316,4,103,60,408,1
317,Swalot,317,17,800,163,409,1
318,Carvanha,318,8,208,61,410,1
319,Sharpedo,319,18,888,161,411,1
320,Wailmer,320,20,1300,80,413,1
321,Wailord,321,145,3980,175,414,1
322,Numel,322,7,240,61,415,1
323,Camerupt,323,19,2200,161,416,1
324,Torkoal,324,5,804,165,418,1
325,Spoink,325,7,306,66,419,1
326,Grumpig,326,9,715,165,420,1
327,Spinda,327,11,50,126,421,1
328,Trapinch,328,7,150,58,422,1
329,Vibrava,329,11,153,119,423,1
330,Flygon,330,20,820,234,424,1
331,Cacnea,331,4,513,67,425,1
332,Cacturne,332,13,774,166,426,1
333,Swablu,333,4,12,62,427,1
334,Altaria,334,11,206,172,428,1
335,Zangoose,335,13,403,160,430,1
336,Seviper,336,27,525,160,431,1
337,Lunatone,337,10,1680,161,432,1
338,Solrock,338,12,1540,161,433,1
339,Barboach,339,4,19,58,434,1
340,Whiscash,340,9,236,164,435,1
341,Corphish,341,6,115,62,436,1
342,Crawdaunt,342,11,328,164,437,1
343,Baltoy,343,5,215,60,438,1
344,Claydol,344,15,1080,175,439,1
345,Lileep,345,10,238,71,440,1
346,Cradily,346,15,604,173,441,1
347,Anorith,347,7,125,71,442,1
348,Armaldo,348,15,682,173,443,1
349,Feebas,349,6,74,40,444,1
350,Milotic,350,62,1620,189,445,1
351,Castform,351,3,8,147,446,1
352,Kecleon,352,10,220,154,450,1
353,Shuppet,353,6,23,59,451,1
354,Banette,354,11,125,159,452,1
355,Duskull,355,8,150,59,454,1
356,Dusclops,356,16,306,159,455,1
357,Tropius,357,20,1000,161,457,1
358,Chimecho,358,6,10,159,459,1
359,Absol,359,12,470,163,460,1
360,Wynaut,360,6,140,52,283,1
361,Snorunt,361,7,168,60,462,1
362,Glalie,362,15,2565,168,463,1
363,Spheal,363,8,395,58,466,1
364,Sealeo,364,11,876,144,467,1
365,Walrein,365,14,1506,239,468,1
366,Clamperl,366,4,525,69,469,1
367,Huntail,367,17,270,170,470,1
368,Gorebyss,368,18,226,170,471,1
369,Relicanth,369,10,234,170,472,1
370,Luvdisc,370,6,87,116,473,1
371,Bagon,371,6,421,60,474,1
372,Shelgon,372,11,1105,147,475,1
373,Salamence,373,15,1026,270,476,1
374,Beldum,374,6,952,60,478,1
375,Metang,375,12,2025,147,479,1
376,Metagross,376,16,5500,270,480,1
377,Regirock,377,17,2300,261,482,1
378,Regice,378,18,1750,261,483,1
379,Registeel,379,19,2050,261,484,1
380,Latias,380,14,400,270,485,1
381,Latios,381,20,600,270,487,1
382,Kyogre,382,45,3520,302,489,1
383,Groudon,383,35,9500,302,491,1
384,Rayquaza,384,70,2065,306,493,1
385,Jirachi,385,3,11,270,495,1
386,Deoxys-Normal,386,17,608,270,496,1
387,Turtwig,387,4,102,64,500,1
388,Grotle,388,11,970,142,501,1
389,Torterra,389,22,3100,236,502,1
390,Chimchar,390,5,62,62,503,1
391,Monferno,391,9,220,142,504,1
392,Infernape,392,12,550,240,505,1
393,Piplup,393,4,52,63,506,1
394,Prinplup,394,8,230,142,507,1
395,Empoleon,395,17,845,239,508,1
396,Starly,396,3,20,49,509,1
397,Staravia,397,6,155,119,510,1
398,Staraptor,398,12,249,218,511,1
399,Bidoof,399,5,200,50,512,1
400,Bibarel,400,10,315,144,513,1
401,Kricketot,401,3,22,39,514,1
402,Kricketune,402,10,255,134,515,1
403,Shinx,403,5,95,53,516,1
404,Luxio,404,9,305,127,517,1
405,Luxray,405,14,420,235,518,1
406,Budew,406,2,12,56,405,1
407,Roserade,407,9,145,232,407,1
408,Cranidos,408,9,315,70,519,1
409,Rampardos,409,16,1025,173,520,1
410,Shieldon,410,5,570,70,521,1
411,Bastiodon,411,13,1495,173,522,1
412,Burmy,412,2,34,45,523,1
413,Wormadam-Plant,413,5,65,148,524,1
414,Mothim,414,9,233,148,527,1
415,Combee,415,3,55,49,528,1
416,Vespiquen,416,12,385,166,529,1
417,Pachirisu,417,4,39,142,530,1
418,Buizel,418,7,295,66,531,1
419,Floatzel,419,11,335,173,532,1
420,Cherubi,420,4,33,55,533,1
421,Cherrim,421,5,93,158,534,1
422,Shellos,422,3,63,65,535,1
423,Gastrodon,423,9,299,166,536,1
424,Ambipom,424,12,203,169,271,1
425,Drifloon,425,4,12,70,537,1
426,Drifblim,426,12,150,174,538,1
427,Buneary,427,4,55,70,539,1
428,Lopunny,428,12,333,168,540,1
429,Mismagius,429,9,44,173,281,1
430,Honchkrow,430,9,273,177,279,1
431,Glameow,431,5,39,62,542,1
432,Purugly,432,10,438,158,543,1
433,Chingling,433,2,6,57,458,1
434,Stunky,434,4,192,66,544,1
435,Skuntank,435,10,380,168,545,1
436,Bronzor,436,5,605,60,546,1
437,Bronzong,437,13,1870,175,547,1
438,Bonsly,438,5,150,58,265,1
439,Mime-Jr,439,6,130,62,183,1
440,Happiny,440,6,244,110,169,1
441,Chatot,441,5,19,144,548,1
442,Spiritomb,442,10,1080,170,549,1
443,Gible,443,7,205,60,550,1
444,Gabite,444,14,560,144,551,1
445,Garchomp,445,19,950,270,552,1
446,Munchlax,446,6,1050,78,222,1
447,Riolu,447,7,202,57,554,1
448,Lucario,448,12,540,184,555,1
449,Hippopotas,449,8,495,66,557,1
450,Hippowdon,450,20,3000,184,558,1
451,Skorupi,451,8,120,66,559,1
452,Drapion,452,13,615,175,560,1
453,Croagunk,453,7,230,60,561,1
454,Toxicroak,454,13,444,172,562,1
455,Carnivine,455,14,270,159,563,1
456,Finneon,456,4,70,66,564,1
457,Lumineon,457,12,240,161,565,1
458,Mantyke,458,10,650,69,310,1
459,Snover,459,10,505,67,566,1
460,Abomasnow,460,22,1355,173,567,1
461,Weavile,461,11,340,179,298,1
462,Magnezone,462,12,1800,241,126,1
463,Lickilicky,463,17,1400,180,163,1
464,Rhyperior,464,24,2828,241,168,1
465,Tangrowth,465,20,1286,187,173,1
466,Electivire,466,18,1386,243,192,1
467,Magmortar,467,16,680,243,195,1
468,Togekiss,468,15,380,245,255,1
469,Yanmega,469,19,515,180,275,1
470,Leafeon,470,10,255,184,210,1
471,Glaceon,471,8,259,184,211,1
472,Gliscor,472,20,425,179,290,1
473,Mamoswine,473,25,2910,239,305,1
474,Porygon-Z,474,9,340,241,215,1
475,Gallade,475,16,520,233,366,1
476,Probopass,476,14,3400,184,384,1
477,Dusknoir,477,22,1066,236,456,1
478,Froslass,478,13,266,168,465,1
479,Rotom,479,3,3,154,569,1
480,Uxie,480,3,3,261,575,1
481,Mesprit,481,3,3,261,576,1
482,Azelf,482,3,3,261,577,1
483,Dialga,483,54,6830,306,578,1
484,Palkia,484,42,3360,306,579,1
485,Heatran,485,17,4300,270,580,1
486,Regigigas,486,37,4200,302,581,1
487,Giratina-Altered,487,45,7500,306,582,1
488,Cresselia,488,15,856,270,584,1
489,Phione,489,4,31,216,585,1
490,Manaphy,490,3,14,270,586,1
491,Darkrai,491,15,505,270,587,1
492,Shaymin-Land,492,2,21,270,588,1
493,Arceus,493,32,3200,324,590,1
494,Victini,494,4,40,270,591,1
495,Snivy,495,6,81,62,592,1
496,Servine,496,8,160,145,593,1
497,Serperior,497,33,630,238,594,1
498,Tepig,498,5,99,62,595,1
499,Pignite,499,10,555,146,596,1
500,Emboar,500,16,1500,238,597,1
501,Oshawott,501,5,59,62,598,1
502,Dewott,502,8,245,145,599,1
503,Samurott,503,15,946,238,600,1
504,Patrat,504,5,116,51,601,1
505,Watchog,505,11,270,147,602,1
506,Lillipup,506,4,41,55,603,1
507,Herdier,507,9,147,130,604,1
508,Stoutland,508,12,610,225,605,1
509,Purrloin,509,4,101,56,606,1
510,Liepard,510,11,375,156,607,1
511,Pansage,511,6,105,63,608,1
512,Simisage,512,11,305,174,609,1
513,Pansear,513,6,110,63,610,1
514,Simisear,514,10,280,174,611,1
515,Panpour,515,6,135,63,612,1
516,Simipour,516,10,290,174,613,1
517,Munna,517,6,233,58,614,1
518,Musharna,518,11,605,170,615,1
519,Pidove,519,3,21,53,616,1
520,Tranquill,520,6,150,125,617,1
521,Unfezant,521,12,290,220,618,1
522,Blitzle,522,8,298,59,619,1
523,Zebstrika,523,16,795,174,620,1
524,Roggenrola,524,4,180,56,621,1
525,Boldore,525,9,1020,137,622,1
526,Gigalith,526,17,2600,232,623,1
527,Woobat,527,4,21,65,624,1
528,Swoobat,528,9,105,149,625,1
529,Drilbur,529,3,85,66,626,1
530,Excadrill,530,7,404,178,627,1
531,Audino,531,11,310,390,628,1
532,Timburr,532,6,125,61,630,1
533,Gurdurr,533,12,400,142,631,1
534,Conkeldurr,534,14,870,227,632,1
535,Tympole,535,5,45,59,633,1
536,Palpitoad,536,8,170,134,634,1
537,Seismitoad,537,15,620,229,635,1
538,Throh,538,13,555,163,636,1
539,Sawk,539,14,510,163,637,1
540,Sewaddle,540,3,25,62,638,1
541,Swadloon,541,5,73,133,639,1
542,Leavanny,542,12,205,225,640,1
543,Venipede,543,4,53,52,641,1
544,Whirlipede,544,12,585,126,642,1
545,Scolipede,545,25,2005,218,643,1
546,Cottonee,546,3,6,56,644,1
547,Whimsicott,547,7,66,168,645,1
548,Petilil,548,5,66,56,646,1
549,Lilligant,549,11,163,168,647,1
550,Basculin-Red-Striped,550,10,180,161,648,1
551,Sandile,551,7,152,58,650,1
552,Krokorok,552,10,334,123,651,1
553,Krookodile,553,15,963,234,652,1
554,Darumaka,554,6,375,63,653,1
555,Darmanitan-Standard,555,13,929,168,654,1
556,Maractus,556,10,280,161,656,1
557,Dwebble,557,3,145,65,657,1
558,Crustle,558,14,2000,170,658,1
559,Scraggy,559,6,118,70,659,1
560,Scrafty,560,11,300,171,660,1
561,Sigilyph,561,14,140,172,661,1
562,Yamask,562,5,15,61,662,1
563,Cofagrigus,563,17,765,169,663,1
564,Tirtouga,564,7,165,71,664,1
565,Carracosta,565,12,810,173,665,1
566,Archen,566,5,95,71,666,1
567,Archeops,567,14,320,177,667,1
568,Trubbish,568,6,310,66,668,1
569,Garbodor,569,19,1073,166,669,1
570,Zorua,570,7,125,66,670,1
571,Zoroark,571,16,811,179,671,1
572,Minccino,572,4,58,60,672,1
573,Cinccino,573,5,75,165,673,1
574,Gothita,574,4,58,58,674,1
575,Gothorita,575,7,180,137,675,1
576,Gothitelle,576,15,440,221,676,1
577,Solosis,577,3,10,58,677,1
578,Duosion,578,6,80,130,678,1
579,Reuniclus,579,10,201,221,679,1
580,Ducklett,580,5,55,61,680,1
581,Swanna,581,13,242,166,681,1
582,Vanillite,582,4,57,61,682,1
583,Vanillish,583,11,410,138,683,1
584,Vanilluxe,584,13,575,241,684,1
585,Deerling,585,6,195,67,685,1
586,Sawsbuck,586,19,925,166,686,1
587,Emolga,587,4,50,150,687,1
588,Karrablast,588,5,59,63,688,1
589,Escavalier,589,10,330,173,689,1
590,Foongus,590,2,10,59,690,1
591,Amoonguss,591,6,105,162,691,1
592,Frillish,592,12,330,67,692,1
593,Jellicent,593,22,1350,168,693,1
594,Alomomola,594,12,316,165,694,1
595,Joltik,595,1,6,64,695,1
596,Galvantula,596,8,143,165,696,1
597,Ferroseed,597,6,188,61,697,1
598,Ferrothorn,598,10,1100,171,698,1
599,Klink,599,3,210,60,699,1
600,Klang,600,6,510,154,700,1
601,Klinklang,601,6,810,234,701,1
602,Tynamo,602,2,3,55,702,1
603,Eelektrik,603,12,220,142,703,1
604,Eelektross,604,21,805,232,704,1
605,Elgyem,605,5,90,67,705,1
606,Beheeyem,606,10,345,170,706,1
607,Litwick,607,3,31,55,707,1
608,Lampent,608,6,130,130,708,1
609,Chandelure,609,10,343,234,709,1
610,Axew,610,6,180,64,710,1
611,Fraxure,611,10,360,144,711,1
612,Haxorus,612,18,1055,243,712,1
613,Cubchoo,613,5,85,61,713,1
614,Beartic,614,26,2600,177,714,1
615,Cryogonal,615,11,1480,180,715,1
616,Shelmet,616,4,77,61,716,1
617,Accelgor,617,8,253,173,717,1
618,Stunfisk,618,7,110,165,718,1
619,Mienfoo,619,9,200,70,719,1
620,Mienshao,620,14,355,179,720,1
621,Druddigon,621,16,1390,170,721,1
622,Golett,622,10,920,61,722,1
623,Golurk,623,28,3300,169,723,1
624,Pawniard,624,5,102,68,724,1
625,Bisharp,625,16,700,172,725,1
626,Bouffalant,626,16,946,172,726,1
627,Rufflet,627,5,105,70,727,1
628,Braviary,628,15,410,179,728,1
629,Vullaby,629,5,90,74,729,1
630,Mandibuzz,630,12,395,179,730,1
631,Heatmor,631,14,580,169,731,1
632,Durant,632,3,330,169,732,1
633,Deino,633,8,173,60,733,1
634,Zweilous,634,14,500,147,734,1
635,Hydreigon,635,18,1600,270,735,1
636,Larvesta,636,11,288,72,736,1
637,Volcarona,637,16,460,248,737,1
638,Cobalion,638,21,2500,261,738,1
639,Terrakion,639,19,2600,261,739,1
640,Virizion,640,20,2000,261,740,1
641,Tornadus-Incarnate,641,15,630,261,741,1
642,Thundurus-Incarnate,642,15,610,261,743,1
643,Reshiram,643,32,3300,306,745,1
644,Zekrom,644,29,3450,306,746,1
645,Landorus-Incarnate,645,15,680,270,747,1
646,Kyurem,646,30,3250,297,749,1
647,Keldeo-Ordinary,647,14,485,261,752,1
648,Meloetta-Aria,648,6,65,270,754,1
649,Genesect,649,15,825,270,756,1
650,Chespin,650,4,90,63,757,1
651,Quilladin,651,7,290,142,758,1
652,Chesnaught,652,16,900,239,759,1
653,Fennekin,653,4,94,61,760,1
654,Braixen,654,10,145,143,761,1
655,Delphox,655,15,390,240,762,1
656,Froakie,656,3,70,63,763,1
657,Frogadier,657,6,109,142,764,1
658,Greninja,658,15,400,239,765,1
659,Bunnelby,659,4,50,47,768,1
660,Diggersby,660,10,424,148,769,1
661,Fletchling,661,3,17,56,770,1
662,Fletchinder,662,7,160,134,771,1
663,Talonflame,663,12,245,175,772,1
664,Scatterbug,664,3,25,40,773,1
665,Spewpa,665,3,84,75,774,1
666,Vivillon,666,12,170,185,775,1
667,Litleo,667,6,135,74,776,1
668,Pyroar,668,15,815,177,777,1
669,Flabebe,669,1,1,61,778,1
670,Floette,670,2,9,130,779,1
671,Florges,671,11,100,248,781,1
672,Skiddo,672,9,310,70,782,1
673,Gogoat,673,17,910,186,783,1
674,Pancham,674,6,80,70,784,1
675,Pangoro,675,21,1360,173,785,1
676,Furfrou,676,12,280,165,786,1
677,Espurr,677,3,35,71,787,1
678,Meowstic-Male,678,6,85,163,788,1
679,Honedge,679,8,20,65,790,1
680,Doublade,680,8,45,157,791,1
681,Aegislash-Shield,681,17,530,234,792,1
682,Spritzee,682,2,5,68,794,1
683,Aromatisse,683,8,155,162,795,1
684,Swirlix,684,4,35,68,796,1
685,Slurpuff,685,8,50,168,797,1
686,Inkay,686,4,35,58,798,1
687,Malamar,687,15,470,169,799,1
688,Binacle,688,5,310,61,800,1
689,Barbaracle,689,13,960,175,801,1
690,Skrelp,690,5,73,64,802,1
691,Dragalge,691,18,815,173,803,1
692,Clauncher,692,5,83,66,804,1
693,Clawitzer,693,13,353,100,805,1
694,Helioptile,694,5,60,58,806,1
695,Heliolisk,695,10,210,168,807,1
696,Tyrunt,696,8,260,72,808,1
697,Tyrantrum,697,25,2700,182,809,1
698,Amaura,698,13,252,72,810,1
699,Aurorus,699,27,2250,104,811,1
700,Sylveon,700,10,235,184,212,1
